question,answer,category
Có bao nhiêu sản phẩm trong cơ sở dữ liệu?,Có 3868 sản phẩm khác nhau trong cơ sở dữ liệu của chúng tôi.,Thông tin sản phẩm
Tổng số khách hàng là bao nhiêu?,Chúng tôi có dữ liệu về 4338 khách hàng duy nhất.,Chi tiết sản phẩm
Có bao nhiêu giao dịch được ghi nhận trong hệ thống?,Cơ sở dữ liệu chứa 18532 giao dịch duy nhất.,Chi tiết sản phẩm
Trung bình mỗi giao dịch có bao nhiêu sản phẩm?,"Trung bình, mỗi giao dịch chứa 21.00 sản phẩm.",Hành vi khách hàng
Cho tôi biết về thống kê chung của cửa hàng,"Cửa hàng của chúng tôi có 3868 sản phẩm duy nhất, 4338 khách hàng, và 18532 giao dịch được ghi nhận. Trung bình, khách hàng mua 21.00 sản phẩm mỗi giao dịch.",Sản phẩm mua kèm
Sản phẩm bán chạy nhất là gì?,"Sản phẩm bán chạy nhất là 'PAPER CRAFT , LITTLE BIRDIE' với 80995 đơn vị đã bán.",Thông tin doanh nghiệp
5 sản phẩm phổ biến nhất là gì?,"5 sản phẩm phổ biến nhất theo số lượng bán ra là: 'PAPER CRAFT , LITTLE BIRDIE' (80995 đơn vị), 'MEDIUM CERAMIC TOP STORAGE JAR' (77916 đơn vị), 'WORLD WAR 2 GLIDERS ASSTD DESIGNS' (54415 đơn vị), 'JUMBO BAG RED RETROSPOT' (46181 đơn vị), 'WHITE HANGING HEART T-LIGHT HOLDER' (36725 đơn vị)",Chi tiết sản phẩm
Sản phẩm nào bán được nhiều nhất?,"Các sản phẩm bán chạy nhất của chúng tôi là: 'PAPER CRAFT , LITTLE BIRDIE' (80995 đơn vị), 'MEDIUM CERAMIC TOP STORAGE JAR' (77916 đơn vị), 'WORLD WAR 2 GLIDERS ASSTD DESIGNS' (54415 đơn vị)",Chi tiết sản phẩm
Tháng nào có doanh số cao nhất?,Tháng có doanh số cao nhất là Tháng 11 với doanh thu £1161817.38.,Phân tích bán hàng
Tháng nào có doanh số thấp nhất?,Tháng có doanh số thấp nhất là Tháng 2 với doanh thu £447137.35.,Đề xuất sản phẩm
Xu hướng doanh thu hàng tháng như thế nào?,Doanh thu hàng tháng cho thấy xu hướng tăng với doanh thu cao nhất là £1161817.38 trong Tháng 11 và thấp nhất là £447137.35 trong Tháng 2.,Phân tích bán hàng
Tần suất mua hàng trung bình của mỗi khách hàng là bao nhiêu?,"Trung bình, khách hàng thực hiện 4.27 lần mua hàng.",Chi tiết sản phẩm
Một khách hàng trung bình chi tiêu bao nhiêu?,Khách hàng trung bình chi tiêu £2054.27 tổng cộng cho tất cả các lần mua hàng.,Chi tiết sản phẩm
Một khách hàng thường mua bao nhiêu sản phẩm khác nhau?,Một khách hàng điển hình mua 61.83 sản phẩm khác nhau.,Đề xuất sản phẩm
Quốc gia nào có nhiều khách hàng nhất?,Quốc gia có nhiều khách hàng nhất là United Kingdom với 16646 lượt mua hàng.,Phân tích bán hàng
Quốc gia nào đặt hàng nhiều nhất?,Quốc gia đặt hàng nhiều nhất là United Kingdom với tổng cộng 16646 đơn hàng.,Thống kê chung
